PASSENGER_TYPE,LENGTH,ITINERARY_TYPE,CABIN,MARKET,CHANNEL,NEW_MARKET_ROLL_UP,OLD_OLD_MARKET_ROLL_UP,ACCOUNTING_MONTH,MASTER_VOYAGE,MASTER_DEPARTURE_DATE,PASSENGERS,PASSENGER_NIGHTS,CURRENCY,FX.1,PPPD,PPPD_EUR,GROSS_TICKET_REVENUE_LOCAL,GROSS_TICKET_REVENUE_EUR,PRE-EMB_PPPD,PRE-EMB_REVENUE_EUR,FY,BUDGET_NAME,VERSION,UNIQUE_ID,ACTUALS_CODE,EFFECTIVE_FROM,EFFECTIVE_TO,ACTIVE_RECORD_FLAG
F,3,Iconic Aegean,Inside,MID,DMC,AWAY,Away Markets,Mon Jan 03 2028 00:00:00 GMT+0000 (Greenwich Mean Time),CD03280324,24/03/2028,0,0,USD,0,0,0,0,0,0,0,2027,Budget2025,v1,FInsideMIDDMCCD03280324Budget2025v1,FInsideMIDDMCCD03280324,Tue Jun 03 2025 08:50:38 GMT+0100 (British Summer Time),Fri Dec 31 9999 00:00:00 GMT+0000 (Greenwich Mean Time),1
F,7,Desert Days,Deluxe,AUS,Direct,AUNZ,AUS,Mon Jan 03 2028 00:00:00 GMT+0000 (Greenwich Mean Time),CJ07280312,12/03/2028,2,14,AUD,0,278,167,3898,2348,30,426,2027,Budget2025,v1,FDeluxeAUSDirectCJ07280312Budget2025v1,FDeluxeAUSDirectCJ07280312,Tue Jun 03 2025 08:50:38 GMT+0100 (British Summer Time),Fri Dec 31 9999 00:00:00 GMT+0000 (Greenwich Mean Time),1
F,3,Iconic Aegean,Inside,BLX,Direct,EU,ROW,Mon Jan 03 2028 00:00:00 GMT+0000 (Greenwich Mean Time),CD03280324,24/03/2028,0,0,EUR,1,114,114,0,0,62,0,2027,Budget2025,v1,FInsideBLXDirectCD03280324Budget2025v1,FInsideBLXDirectCD03280324,Tue Jun 03 2025 08:50:38 GMT+0100 (British Summer Time),Fri Dec 31 9999 00:00:00 GMT+0000 (Greenwich Mean Time),1
F,7,Desert Days,Deluxe,EAS,Tour Operator,EU,ROW,Mon Jan 03 2028 00:00:00 GMT+0000 (Greenwich Mean Time),CJ07280312,12/03/2028,0,3,EUR,1,167,167,587,587,28,100,2027,Budget2025,v1,FDeluxeEASTour OperatorCJ07280312Budget2025v1,FDeluxeEASTour OperatorCJ07280312,Tue Jun 03 2025 08:50:38 GMT+0100 (British Summer Time),Fri Dec 31 9999 00:00:00 GMT+0000 (Greenwich Mean Time),1
F,14,Positioning Journey,Deluxe,NZE,Travel Agency,AUNZ,AUS,Mon Jan 03 2028 00:00:00 GMT+0000 (Greenwich Mean Time),CJ14280319,19/03/2028,0,0,AUD,0,161,97,0,0,10,0,2027,Budget2025,v1,FDeluxeNZETravel AgencyCJ14280319Budget2025v1,FDeluxeNZETravel AgencyCJ14280319,Tue Jun 03 2025 08:50:38 GMT+0100 (British Summer Time),Fri Dec 31 9999 00:00:00 GMT+0000 (Greenwich Mean Time),1
F,3,Iconic Aegean,Inside,RUS,Travel Agency,ROW,ROW,Mon Jan 03 2028 00:00:00 GMT+0000 (Greenwich Mean Time),CD03280324,24/03/2028,0,0,EUR,1,117,117,0,0,1,0,2027,Budget2025,v1,FInsideRUSTravel AgencyCD03280324Budget2025v1,FInsideRUSTravel AgencyCD03280324,Tue Jun 03 2025 08:50:38 GMT+0100 (British Summer Time),Fri Dec 31 9999 00:00:00 GMT+0000 (Greenwich Mean Time),1
F,7,Desert Days,Inside,APAC,Tour Operator,APAC,ROW,Mon Jan 03 2028 00:00:00 GMT+0000 (Greenwich Mean Time),CJ07280305,05/03/2028,0,3,USD,0,182,166,639,581,1,5,2027,Budget2025,v1,FInsideAPACTour OperatorCJ07280305Budget2025v1,FInsideAPACTour OperatorCJ07280305,Tue Jun 03 2025 08:50:38 GMT+0100 (British Summer Time),Fri Dec 31 9999 00:00:00 GMT+0000 (Greenwich Mean Time),1
G,7,Desert Days,Deluxe,NZE,Travel Agency,AUNZ,AUS,Mon Jan 03 2028 00:00:00 GMT+0000 (Greenwich Mean Time),CJ07280305,05/03/2028,0,0,AUD,0,278,167,0,0,20,0,2027,Budget2025,v1,GDeluxeNZETravel AgencyCJ07280305Budget2025v1,GDeluxeNZETravel AgencyCJ07280305,Tue Jun 03 2025 08:50:38 GMT+0100 (British Summer Time),Fri Dec 31 9999 00:00:00 GMT+0000 (Greenwich Mean Time),1
G,3,Iconic Aegean,Inside,NTH,Direct,EU,ROW,Mon Jan 03 2028 00:00:00 GMT+0000 (Greenwich Mean Time),CD03280324,24/03/2028,0,0,EUR,1,111,111,0,0,0,0,2027,Budget2025,v1,GInsideNTHDirectCD03280324Budget2025v1,GInsideNTHDirectCD03280324,Tue Jun 03 2025 08:50:38 GMT+0100 (British Summer Time),Fri Dec 31 9999 00:00:00 GMT+0000 (Greenwich Mean Time),1
G,3,Iconic Aegean,Inside,CAN,DMC,NORAM,USA,Mon Jan 03 2028 00:00:00 GMT+0000 (Greenwich Mean Time),CD03280324,24/03/2028,0,0,USD,0,168,152,0,0,88,0,2027,Budget2025,v1,GInsideCANDMCCD03280324Budget2025v1,GInsideCANDMCCD03280324,Tue Jun 03 2025 08:50:38 GMT+0100 (British Summer Time),Fri Dec 31 9999 00:00:00 GMT+0000 (Greenwich Mean Time),1
